league,player,position,team,age,dynasty_value,dyn_percentile,redraft_percentile,gap,signal
(unnamed league),Jalen Royals,WR,KCC,23.5,23,0.5238970588235294,0.45196078431372544,0.071936274509804,fairly priced
(unnamed league),Nicholas Singleton,RB,TEN,22.6,160,0.6743933823529411,0.604921568627451,0.06947181372549016,fairly priced
(unnamed league),Tory Horton,WR,SEA,23.7,76,0.6163602941176471,0.5501176470588236,0.06624264705882354,fairly priced
(unnamed league),Isaiah Likely,TE,NYG,26.3,886,0.8084558823529412,0.748686274509804,0.05976960784313723,fairly priced
(unnamed league),Alec Pierce,WR,IND,26.3,1369,0.8425183823529412,0.7895686274509804,0.052949754901960744,fairly priced
(unnamed league),Jonah Coleman,RB,DEN,23,296,0.7227389705882352,0.6714313725490196,0.051307598039215585,fairly priced
(unnamed league),Patrick Mahomes,QB,KCC,30.9,8599,0.9783639705882353,0.9453529411764706,0.0330110294117647,fairly priced
(unnamed league),Keon Coleman,WR,BUF,23.2,59,0.5963970588235294,0.5659803921568627,0.03041666666666676,fairly priced
(unnamed league),Mac Jones,QB,SFO,27.9,201,0.6924080882352941,0.668235294117647,0.024172794117647056,fairly priced
(unnamed league),Michael Wilson,WR,ARI,26.5,890,0.8088235294117647,0.7900196078431372,0.018803921568627535,fairly priced
(unnamed league),Colston Loveland,TE,CHI,22.3,3175,0.9083272058823529,0.894235294117647,0.014091911764705922,fairly priced
(unnamed league),Josh Downs,WR,IND,25,803,0.8006801470588235,0.7997058823529412,0.000974264705882355,fairly priced
(unnamed league),Michael Pittman,WR,PIT,28.9,746,0.795091911764706,0.8028627450980392,-0.007770833333333282,fairly priced
(unnamed league),Anthony Richardson,QB,IND,24.2,792,0.6807536764705883,0.711764705882353,-0.0310110294117647,fairly priced
(unnamed league),Terry McLaurin,WR,WAS,30.9,1445,0.8466360294117647,0.878313725490196,-0.031677696078431294,fairly priced
(unnamed league),D'Andre Swift,RB,CHI,27.6,935,0.8127389705882353,0.8449803921568627,-0.032241421568627415,fairly priced
(unnamed league),Deebo Samuel,WR,SFO,30.6,151,0.6697977941176471,0.7102941176470587,-0.04049632352941168,fairly priced
(unnamed league),Chris Brooks,RB,GBP,26.6,15,0.4919117647058824,0.5355098039215687,-0.04359803921568628,fairly priced
(unnamed league),MarShawn Lloyd,RB,GBP,25.6,34,0.5526102941176471,0.5974901960784313,-0.044879901960784285,fairly priced
(unnamed league),Kyler Murray,QB,MIN,29,3152,0.8718198529411765,0.9263921568627451,-0.05457230392156864,fairly priced
(unnamed league),Sean Tucker,RB,TBB,24.8,38,0.561360294117647,0.6271568627450981,-0.06579656862745109,fairly priced
(unnamed league),Isiah Pacheco,RB,DET,27.5,82,0.622610294117647,0.6942941176470588,-0.07168382352941183,fairly priced
(unnamed league),J.K. Dobbins,RB,DEN,27.7,211,0.6963786764705883,0.7718235294117647,-0.07544485294117642,fairly priced
(unnamed league),Travis Kelce,TE,KCC,36.9,213,0.6968198529411764,0.777235294117647,-0.08041544117647059,fairly priced
(unnamed league),Aaron Jones,RB,MIN,31.7,99,0.6373161764705881,0.7528039215686275,-0.11548774509803938,fairly priced
Wisco Dynasty,Kenyon Sadiq,TE,NYJ,21.4,1719,0.8618181818181818,0.5688095238095239,0.29300865800865794,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Wisco Dynasty,Max Klare,TE,LAR,23.1,106,0.6461272727272727,0.36583333333333334,0.2802939393939393,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Wisco Dynasty,Bryce Lance,WR,NOS,24,52,0.5916545454545454,0.3592857142857142,0.23236883116883122,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Wisco Dynasty,Carson Beck,QB,ARI,24.7,33,0.5557818181818182,0.35577380952380955,0.2000080086580086,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Wisco Dynasty,Terrance Ferguson,TE,LAR,23.4,308,0.7287272727272727,0.5353571428571429,0.1933701298701298,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Wisco Dynasty,Ja'Kobi Lane,WR,BAL,22,123,0.6579272727272727,0.5024603174603175,0.1554669552669552,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Wisco Dynasty,Zachariah Branch,WR,ATL,22.4,158,0.6770545454545455,0.5462103174603175,0.130844227994228,fairly priced
Wisco Dynasty,KC Concepcion,WR,CLE,21.9,1832,0.8667818181818182,0.7409722222222221,0.12580959595959607,fairly priced
Wisco Dynasty,Joe Flacco,QB,CIN,41.6,4,0.39985454545454546,0.30101190476190476,0.0988426406926407,fairly priced
Wisco Dynasty,Seth McGowan,RB,IND,24.8,13,0.4815636363636364,0.41781746031746025,0.06374617604617616,fairly priced
Wisco Dynasty,Daniel Jones,QB,IND,29.2,328,0.7336363636363636,0.6859920634920635,0.0476443001443001,fairly priced
Wisco Dynasty,Hunter Henry,TE,NEP,31.7,174,0.6846,0.6720436507936508,0.012556349206349182,fairly priced
Wisco Dynasty,Mark Andrews,TE,BAL,30.9,433,0.7551454545454546,0.749047619047619,0.006097835497835602,fairly priced
Wisco Dynasty,Dontayvion Wicks,WR,PHI,25.2,67,0.6109818181818182,0.60625,0.004731818181818226,fairly priced
Wisco Dynasty,James Cook,RB,BUF,26.9,6878,0.9690909090909091,0.9656746031746032,0.0034163059163059284,fairly priced
Wisco Dynasty,Dak Prescott,QB,DAL,33,1401,0.8460545454545454,0.843234126984127,0.002820418470418362,fairly priced
Wisco Dynasty,Dalton Schultz,TE,HOU,30.1,110,0.6494727272727273,0.6470634920634921,0.0024092352092351943,fairly priced
Wisco Dynasty,Puka Nacua,WR,LAR,25.2,9076,0.9950363636363636,0.9956150793650793,-0.0005787157287157063,fairly priced
Wisco Dynasty,Amon-Ra St. Brown,WR,DET,26.8,9119,0.9896909090909091,0.9907936507936508,-0.0011027417027417163,fairly priced
Wisco Dynasty,Trey McBride,TE,ARI,26.7,5425,0.9541272727272727,0.9633531746031746,-0.009225901875901887,fairly priced
Wisco Dynasty,Kyler Murray,QB,MIN,29,492,0.7651454545454546,0.7772222222222223,-0.012076767676767686,fairly priced
Wisco Dynasty,Jonathan Taylor,RB,IND,27.6,6306,0.9652727272727273,0.9786309523809524,-0.013358225108225152,fairly priced
Wisco Dynasty,A.J. Brown,WR,NEP,29.1,5646,0.9388545454545455,0.9727976190476191,-0.03394307359307358,fairly priced
Wisco Dynasty,Deebo Samuel,WR,SFO,30.6,178,0.6862545454545455,0.720218253968254,-0.03396370851370856,fairly priced
Wisco Dynasty,Ray Davis,RB,BUF,26.8,35,0.5600545454545455,0.6190674603174603,-0.05901291486291482,fairly priced
Wisco Dynasty,Xavier Hutchinson,WR,HOU,26.2,2,0.2679999999999999,0.3328968253968253,-0.0648968253968254,fairly priced
Wisco Dynasty,Rhamondre Stevenson,RB,NEP,28.5,489,0.7644909090909091,0.8393055555555555,-0.07481464646464642,fairly priced
Wisco Dynasty,Mike Evans,WR,SFO,33,985,0.8186727272727272,0.8947222222222222,-0.07604949494949498,fairly priced
Wisco Dynasty,Garrett Nussmeier,QB,KCC,24.5,9,0.45372727272727276,,,no redraft/dynasty ECR overlap
D - 1,Jalen Royals,WR,KCC,23.5,23,0.5238970588235294,0.45196078431372544,0.071936274509804,fairly priced
D - 1,Brandon Aiyuk,WR,SFO,28.4,408,0.6248529411764705,0.557078431372549,0.06777450980392152,fairly priced
D - 1,Tucker Kraft,TE,GBP,25.8,2367,0.8853492647058824,0.8201372549019608,0.06521200980392161,fairly priced
D - 1,Patrick Mahomes,QB,KCC,30.9,8599,0.9783639705882353,0.9453529411764706,0.0330110294117647,fairly priced
D - 1,Romeo Doubs,WR,NEP,26.3,441,0.7538602941176471,0.7282941176470588,0.025566176470588342,fairly priced
D - 1,Garrett Wilson,WR,NYJ,26.1,4778,0.9238419117647059,0.9098823529411765,0.013959558823529394,fairly priced
D - 1,Caleb Williams,QB,CHI,24.7,8282,0.9881066176470589,0.9805882352941176,0.007518382352941222,fairly priced
D - 1,Dawson Knox,TE,BUF,29.7,7,0.42503676470588236,0.4266274509803921,-0.001590686274509756,fairly priced
D - 1,Keenan Allen,WR,FA,34.3,24,0.5249264705882353,0.5294509803921569,-0.004524509803921606,fairly priced
D - 1,Joe Mixon,RB,FA,30.1,9,0.44963235294117654,0.4630392156862745,-0.013406862745097947,fairly priced
D - 1,Mike Gesicki,TE,CIN,30.9,18,0.5040441176470588,0.5284509803921569,-0.024406862745098068,fairly priced
D - 1,Chris Godwin,WR,TBB,30.5,572,0.7742095588235294,0.8044705882352942,-0.030261029411764784,fairly priced
D - 1,Darius Slayton,WR,NYG,29.6,16,0.49382352941176466,0.5312156862745098,-0.03739215686274511,fairly priced
D - 1,DeAndre Hopkins,WR,FA,34.2,3,0.35262867647058815,0.4004901960784314,-0.04786151960784324,fairly priced
D - 1,Jaydon Blue,RB,DAL,22.6,29,0.5420220588235294,0.5935490196078432,-0.05152696078431385,fairly priced
D - 1,Jeremy McNichols,RB,WAS,30.6,3,0.3503676470588236,0.4068627450980392,-0.0564950980392156,fairly priced
D - 1,Mike Evans,WR,SFO,33,727,0.7930698529411765,0.8557058823529412,-0.06263602941176472,fairly priced
D - 1,KaVontae Turpin,WR,DAL,30,4,0.38713235294117654,0.4528039215686275,-0.06567156862745094,fairly priced
D - 1,Isiah Pacheco,RB,DET,27.5,82,0.622610294117647,0.6942941176470588,-0.07168382352941183,fairly priced
D - 1,Tony Pollard,RB,TEN,29.3,291,0.7213235294117647,0.8054509803921569,-0.0841274509803922,fairly priced
D - 1,Alvin Kamara,RB,NOS,31.1,58,0.5955147058823529,0.697392156862745,-0.10187745098039214,fairly priced
D - 1,Raheem Mostert,RB,LVR,34.3,3,0.31295955882352944,0.4715686274509804,-0.15860906862745094,SELL-HIGH (current production is outrunning his long-term dynasty price)
D - 1,Taysom Hill,TE,FA,36,2,0.16727941176470584,0.37254901960784315,-0.2052696078431373,SELL-HIGH (current production is outrunning his long-term dynasty price)
D - 1,Brandin Cooks,WR,BUF,32.9,2,0.25459558823529416,0.48888235294117643,-0.23428676470588228,SELL-HIGH (current production is outrunning his long-term dynasty price)
D - 1,JuJu Smith-Schuster,WR,NYG,29.7,1,0.13235294117647056,0.3784313725490196,-0.24607843137254903,SELL-HIGH (current production is outrunning his long-term dynasty price)
D - 1,Quinn Ewers,QB,MIA,23.3,53,0.5882352941176471,,,no redraft/dynasty ECR overlap
D - 1,Gage Larvadain,WR,CLE,23.6,,,,,no redraft/dynasty ECR overlap
D - 1,Brady Cook,QB,NYJ,24.8,2,,,,no redraft/dynasty ECR overlap
D - 1,Dominic Lovett,WR,DET,23.8,1,,0.3549019607843137,,no redraft/dynasty ECR overlap
D - 1,Zavier Scott,RB,MIN,27.1,2,,0.38431372549019605,,no redraft/dynasty ECR overlap
D - 1,Adam Thielen,WR,FA,36,,,,,no redraft/dynasty ECR overlap
D - 1,Malachi Corley,WR,CLE,24.4,2,0.25183823529411764,,,no redraft/dynasty ECR overlap
D - 1,Tyrod Taylor,QB,GBP,37,2,,,,no redraft/dynasty ECR overlap
D - 1,Ja'Corey Brooks,WR,FA,24.8,,,,,no redraft/dynasty ECR overlap
